id;customer_id;first_name;last_name
c66479fd-090b-41d4-8303-eb9578a196d8;1b0c304a-714f-4789-808c-4c1c97be7f36;Rowland;Robel
d87ccb5a-514b-4cac-bd26-cbf5a39090cd;0c5e14d6-32e2-40aa-b498-a2ab09d067f8;Mckayla;Lindgren
691056e5-8d9a-4e0c-9709-e174d12e1b32;f015bfde-f81f-4a4c-bf9c-0b5476790764;Issac;Bernier
00990e06-e5eb-4fcb-a62d-c91efd6828e2;7f5f9a0c-c48d-4f0a-9896-f4dabeeb8853;Armando;Kiehn
9c87deec-3352-4e04-a875-bea36ec6aabc;efdea7bf-f84c-49bd-b786-4bf862966409;Chasity;Hoeger
0aacb631-283a-48ab-a497-ee0bb3d638fa;b24e924b-4aff-4d77-abfa-e2e532b2e017;Josiane;Hane
63ba696a-1978-4920-b927-55555a969a68;870faf3c-b09e-4252-b7d1-03ddd21de5cf;Winona;Prosacco
5f96f5e4-f034-4042-986b-b14291c41b1d;956920fe-2390-49dc-a2fd-79745f64900e;Alysa;Franecki
906496a9-242e-4f7d-85ad-0b03cfefe32e;39545ec2-de48-4ddb-93df-dd2f64afc530;Maurine;Stehr
c7fa1894-f738-4479-bc23-af2ba11cbca0;d3f64275-5b90-41a2-a78a-b87a7181eb30;Skye;Wehner
