id;customer_id;first_name;last_name;email;phone_number
2fd91947-cb33-4a97-bf12-3e45c649c026;ef38fc88-6ba0-4c9d-b824-346cacf3e1c7;Velda;DuBuque;Werner23@hotmail.com;copying Handcrafted Ergonomic
1a7caf4d-544c-48da-9cc3-731c109b2b39;ecb4ac96-203e-42c6-adae-02ae79e98c71;Maurice;Morissette;Evangeline20@hotmail.com;application
d2828782-93d3-4c3b-ba0e-35dd9871aef7;26f29d31-266e-4513-afa0-7e7dd3f8724a;Rex;Baumbach;Clair.Schultz@yahoo.com;fuchsia International
2034c10b-c4e9-40d3-b7cb-dd09e384df97;aa7eedaa-1dc8-46ea-b7ee-14e2ce826b90;Raul;Marquardt;Nicolas.Bins@yahoo.com;Specialist optical monitor
dc38ff14-6c0e-4cd0-a34b-c9b877ab23d8;15acd974-4b08-4bef-8721-a2d7721d09fc;Jerad;Runte;Daija.Klocko42@yahoo.com;compress user
b7fa979b-519e-4461-9365-dfba8f4e8c99;214ecede-dfc1-4688-8c92-f4887cf0b16f;Richmond;Pagac;Johnny53@gmail.com;Upgradable Well metrics
7509884f-7630-47f2-8e73-aea677d98b9c;ea93accf-d8d2-4f61-9843-fe9a0a24dbbf;Ariane;O'Keefe;Nat.Altenwerth4@yahoo.com;Soft Tenge Fresh
aa68de0e-6455-4e16-b48b-a987e0c2a3a8;3f8b8e05-1df0-4571-9387-ad947890b280;Thaddeus;Jenkins;Viola_Ziemann93@hotmail.com;Specialist Ergonomic
051c6054-0d86-40be-a84a-70afa0013d15;a70e7512-709d-453b-b95f-0677a572e0ab;June;Hauck;Violette78@hotmail.com;core
325382d7-513d-46e7-8eec-8399adf85a11;b3e08e89-e1e9-492d-a511-b02ebb3ff1f7;Toy;Reilly;Elias0@hotmail.com;Wooden
