id;repair_request_id;room_number;description;status;date_created;date_updated
c5830022-fb74-4675-a02a-751cab251928;92da8d60-743f-4bcc-81d6-d682743ddef6;Shirt;invoice transition composite;IN_PROGRESS;2023-06-21T21:50:33;2023-06-22T06:53:56
719bae68-ca44-46e2-90fc-e574b94b60b7;26c4d96e-6d77-4344-8481-3c35c0e56117;Shoes alliance;SAS transmit Tactics;IN_PROGRESS;2023-06-21T16:17:41;2023-06-22T00:27:11
e20db60a-90e0-468e-a9b3-af52f0160bb4;aab85fc9-4046-4d13-a864-940b1fd8058c;Utah Hill;Plastic Keyboard Avon;PENDING;2023-06-22T10:45:52;2023-06-21T18:39:46
9a05f8a3-03f3-42df-a143-8e19e1e5e37c;84831c22-cbc9-4a39-b141-5f89f6501b02;Divide Central Frozen;Table Planner;COMPLETED;2023-06-22T04:35:53;2023-06-22T06:46:41
5b57009f-f3cd-4e63-8670-bd45b5ad7ac6;a258e76e-9e54-4ef1-aae1-5845511149c6;Multi-channelled Rubber Land;Intelligent Nevada;IN_PROGRESS;2023-06-22T00:26:13;2023-06-22T11:18:46
a4ea40b8-0783-4e0f-a18d-fef4f1767e3d;713acdfe-9303-42fd-a5f4-d32dd7696277;matrix Fresh;portals interactive Buckinghamshire;COMPLETED;2023-06-22T09:32:41;2023-06-21T20:46:44
e4f3694a-5d88-4a42-b3db-6e77f08fed99;edeba782-e62d-4eeb-bc85-efee7edc5d7e;Ergonomic cross-media;Toys Cotton;IN_PROGRESS;2023-06-22T09:21:00;2023-06-22T15:09:28
7673d3c9-188a-43c6-8174-c27109d75149;05d2721c-9725-4e02-b7a2-88c3edc9019b;Horizontal Producer;bypass Buckinghamshire;IN_PROGRESS;2023-06-22T02:16:23;2023-06-22T05:35:26
79b36419-0ab9-4d0e-b8df-fa68470cb02c;bb4422e1-1ac7-4de3-8397-65cad7b99907;firewall quantifying lavender;Customer application Towels;IN_PROGRESS;2023-06-21T16:21:34;2023-06-21T23:56:42
409b6329-e40f-4059-9b91-d759797d6dde;963c9e19-f253-4b71-8e63-4bd06d1c15a3;synthesizing calculate;Account;PENDING;2023-06-22T07:16:02;2023-06-22T09:18:24
